employee_id,department_id,first_name,last_name,job_title,hire_date,employment_status,annual_salary_usd
E00001,D005,Avery,Morris,Manager,2015-01-16,Active,182800.00
E00002,D010,Wesley,Hayes,Manager,2020-12-30,Active,160700.00
E00003,D006,Finley,Ellis,Manager,2018-08-24,Active,68700.00
E00004,D006,Avery,Adams,Manager,2025-01-02,Active,100900.00
E00005,D002,Casey,Patel,Manager,2019-02-06,Inactive,50300.00
E00006,D006,Riley,Nguyen,Manager,2025-02-17,Active,93900.00
E00007,D003,Casey,Vega,Manager,2015-12-05,Active,93200.00
E00008,D011,Blake,Owens,Manager,2023-05-27,Active,92800.00
E00009,D002,Finley,Shaw,Manager,2021-05-31,Active,145400.00
E00010,D005,Finley,Shaw,Manager,2024-08-29,Active,58100.00
E00011,D002,Terry,Jenkins,Manager,2017-01-10,Active,137800.00
E00012,D001,Wesley,Grant,Manager,2016-05-04,Active,182900.00
E00013,D005,Wesley,Lopez,Senior Associate,2023-08-24,Active,123500.00
E00014,D004,Finley,Nguyen,Manager,2018-05-16,Active,129700.00
E00015,D005,Jordan,Grant,Analyst,2021-02-28,Active,67500.00
E00016,D003,Jordan,Jenkins,Senior Associate,2018-06-14,Active,87400.00
E00017,D004,Reese,Morris,Coordinator,2017-12-17,Active,160900.00
E00018,D007,Wesley,Owens,Manager,2015-03-07,Active,158800.00
E00019,D008,Parker,Kim,Manager,2023-01-25,Active,123200.00
E00020,D003,Kai,Hayes,Analyst,2019-04-03,Active,126900.00
E00021,D007,Taylor,Ellis,Consultant,2023-01-22,Active,112700.00
E00022,D007,Reese,Dawson,Specialist,2024-01-14,Active,109000.00
E00023,D002,Jordan,Jenkins,Specialist,2016-12-19,Active,96200.00
E00024,D002,Terry,Vega,Coordinator,2017-08-21,On Leave,69800.00
E00025,D009,Taylor,Lopez,Manager,2021-07-29,Active,56500.00
E00026,D005,Jordan,Bennett,Specialist,2016-01-05,Active,63600.00
E00027,D007,Skyler,Carter,Analyst,2019-08-17,Active,128900.00
E00028,D007,Casey,Kim,Consultant,2023-05-10,Active,168100.00
E00029,D007,Sawyer,Patel,Senior Associate,2021-06-10,Active,157800.00
E00030,D003,Logan,Bennett,Analyst,2019-06-30,Inactive,72300.00
E00031,D011,Logan,Adams,Consultant,2018-04-20,Active,114200.00
E00032,D008,Kai,Dawson,Consultant,2024-06-24,Active,177300.00
E00033,D008,Casey,Lopez,Coordinator,2024-07-30,Active,64700.00
E00034,D004,Taylor,Vega,Senior Associate,2015-12-28,Active,138700.00
E00035,D005,Finley,Hayes,Analyst,2019-12-27,Active,116200.00
E00036,D006,Jordan,Patel,Analyst,2018-11-25,Active,76300.00
E00037,D003,Sawyer,Lopez,Coordinator,2018-11-03,Active,64900.00
E00038,D010,Taylor,Irwin,Coordinator,2015-06-02,Inactive,169500.00
E00039,D001,Taylor,Irwin,Analyst,2024-07-22,Active,49400.00
E00040,D002,Casey,Patel,Senior Associate,2022-06-13,Active,138400.00
E00041,D002,Finley,Bennett,Analyst,2019-12-17,Active,125600.00
E00042,D010,Finley,Ellis,Coordinator,2015-08-08,Active,168800.00
E00043,D008,Finley,Ellis,Analyst,2017-04-23,Active,65200.00
E00044,D011,Riley,Hayes,Consultant,2024-01-25,Active,149600.00
E00045,D006,Finley,Hayes,Analyst,2024-02-19,Active,120100.00
E00046,D010,Skyler,Vega,Analyst,2017-04-22,Active,173500.00
E00047,D003,Rowan,Ellis,Consultant,2019-12-27,Active,172200.00
E00048,D012,Kai,Shaw,Manager,2016-08-10,Active,167300.00
E00049,D007,Skyler,Reed,Senior Associate,2019-05-18,Active,75700.00
E00050,D005,Emery,Kim,Analyst,2020-03-08,Active,92900.00
E00051,D006,Logan,Turner,Specialist,2021-09-28,Active,119000.00
E00052,D011,Parker,Shaw,Analyst,2025-07-08,Active,68700.00
E00053,D001,Terry,Adams,Senior Associate,2018-03-19,Active,87600.00
E00054,D001,Riley,Dawson,Consultant,2021-12-21,Active,94600.00
E00055,D002,Rowan,Foster,Specialist,2017-10-11,Active,148400.00
E00056,D009,Riley,Dawson,Specialist,2020-04-18,Active,51300.00
E00057,D003,Sawyer,Lopez,Coordinator,2020-05-06,Active,95000.00
E00058,D008,Riley,Jenkins,Specialist,2018-05-16,Active,95500.00
E00059,D010,Rowan,Lopez,Specialist,2019-11-19,Active,110900.00
E00060,D002,Morgan,Bennett,Analyst,2022-09-27,Active,62100.00
E00061,D011,Finley,Reed,Analyst,2024-11-07,On Leave,148100.00
E00062,D010,Terry,Turner,Senior Associate,2024-05-15,Active,146100.00
E00063,D005,Taylor,Hayes,Consultant,2020-06-25,Active,87200.00
E00064,D004,Terry,Jenkins,Specialist,2022-06-15,Active,142500.00
E00065,D009,Kai,Hayes,Consultant,2016-06-16,Active,162600.00
E00066,D010,Emery,Ellis,Consultant,2021-04-03,Active,168700.00
E00067,D012,Sawyer,Hayes,Consultant,2019-03-05,On Leave,134500.00
E00068,D009,Rowan,Bennett,Coordinator,2023-04-15,Active,76200.00
E00069,D002,Skyler,Jenkins,Consultant,2016-05-30,Active,51200.00
E00070,D012,Devon,Reed,Senior Associate,2015-06-26,Active,65700.00
E00071,D007,Kai,Grant,Coordinator,2023-06-11,Active,94700.00
E00072,D012,Riley,Reed,Coordinator,2018-09-30,Active,139900.00
E00073,D007,Logan,Shaw,Specialist,2015-03-22,Active,153900.00
E00074,D007,Parker,Adams,Specialist,2017-04-30,Active,77700.00
E00075,D001,Emery,Kim,Specialist,2019-07-07,Active,107800.00
E00076,D007,Taylor,Owens,Consultant,2020-04-28,Active,125600.00
E00077,D011,Terry,Kim,Specialist,2017-09-25,Active,138600.00
E00078,D010,Riley,Vega,Analyst,2017-02-15,Active,181000.00
E00079,D010,Parker,Reed,Specialist,2025-06-21,Active,175400.00
E00080,D008,Taylor,Lopez,Specialist,2021-07-05,Active,131300.00
E00081,D004,Skyler,Nguyen,Consultant,2025-04-10,Active,137900.00
E00082,D011,Finley,Ellis,Specialist,2016-02-06,Active,184200.00
E00083,D006,Finley,Bennett,Specialist,2018-10-03,Active,88500.00
E00084,D004,Morgan,Grant,Consultant,2018-07-14,On Leave,85400.00
E00085,D010,Sawyer,Grant,Analyst,2021-08-02,Active,174700.00
E00086,D001,Morgan,Irwin,Specialist,2019-06-21,Inactive,144300.00
E00087,D008,Blake,Irwin,Senior Associate,2019-09-26,Active,106100.00
